FalseRejection,args,n,k,edge_var
False,"{'dgp': <class 'src.dgp.GaussianNetwork'>, 'method': <class 'src.methods.RVPermutationTest'>, 'n': 50, 'k': 2, 'sigma': 0, 'alpha': 0.05, 'npermutations': 5000, 'marginal_z': <scipy.stats._continuous_distns.norm_gen object at 0x128055700>, 'marginal_x': <scipy.stats._continuous_distns.norm_gen object at 0x128055700>, 'edge_var': 0.5}",50,2,0.5
False,"{'dgp': <class 'src.dgp.GaussianNetwork'>, 'method': <class 'src.methods.RVPermutationTest'>, 'n': 50, 'k': 2, 'sigma': 0, 'alpha': 0.05, 'npermutations': 5000, 'marginal_z': <scipy.stats._continuous_distns.norm_gen object at 0x128055700>, 'marginal_x': <scipy.stats._continuous_distns.norm_gen object at 0x128055700>, 'edge_var': 1}",50,2,1.0
False,"{'dgp': <class 'src.dgp.GaussianNetwork'>, 'method': <class 'src.methods.RVPermutationTest'>, 'n': 50, 'k': 5, 'sigma': 0, 'alpha': 0.05, 'npermutations': 5000, 'marginal_z': <scipy.stats._continuous_distns.norm_gen object at 0x128055700>, 'marginal_x': <scipy.stats._continuous_distns.norm_gen object at 0x128055700>, 'edge_var': 0.5}",50,5,0.5
False,"{'dgp': <class 'src.dgp.GaussianNetwork'>, 'method': <class 'src.methods.RVPermutationTest'>, 'n': 50, 'k': 5, 'sigma': 0, 'alpha': 0.05, 'npermutations': 5000, 'marginal_z': <scipy.stats._continuous_distns.norm_gen object at 0x128055700>, 'marginal_x': <scipy.stats._continuous_distns.norm_gen object at 0x128055700>, 'edge_var': 1}",50,5,1.0
False,"{'dgp': <class 'src.dgp.GaussianNetwork'>, 'method': <class 'src.methods.RVPermutationTest'>, 'n': 100, 'k': 2, 'sigma': 0, 'alpha': 0.05, 'npermutations': 5000, 'marginal_z': <scipy.stats._continuous_distns.norm_gen object at 0x128055700>, 'marginal_x': <scipy.stats._continuous_distns.norm_gen object at 0x128055700>, 'edge_var': 0.5}",100,2,0.5
False,"{'dgp': <class 'src.dgp.GaussianNetwork'>, 'method': <class 'src.methods.RVPermutationTest'>, 'n': 100, 'k': 2, 'sigma': 0, 'alpha': 0.05, 'npermutations': 5000, 'marginal_z': <scipy.stats._continuous_distns.norm_gen object at 0x128055700>, 'marginal_x': <scipy.stats._continuous_distns.norm_gen object at 0x128055700>, 'edge_var': 1}",100,2,1.0
False,"{'dgp': <class 'src.dgp.GaussianNetwork'>, 'method': <class 'src.methods.RVPermutationTest'>, 'n': 100, 'k': 5, 'sigma': 0, 'alpha': 0.05, 'npermutations': 5000, 'marginal_z': <scipy.stats._continuous_distns.norm_gen object at 0x128055700>, 'marginal_x': <scipy.stats._continuous_distns.norm_gen object at 0x128055700>, 'edge_var': 0.5}",100,5,0.5
False,"{'dgp': <class 'src.dgp.GaussianNetwork'>, 'method': <class 'src.methods.RVPermutationTest'>, 'n': 100, 'k': 5, 'sigma': 0, 'alpha': 0.05, 'npermutations': 5000, 'marginal_z': <scipy.stats._continuous_distns.norm_gen object at 0x128055700>, 'marginal_x': <scipy.stats._continuous_distns.norm_gen object at 0x128055700>, 'edge_var': 1}",100,5,1.0
False,"{'dgp': <class 'src.dgp.GaussianNetwork'>, 'method': <class 'src.methods.RVPermutationTest'>, 'n': 200, 'k': 2, 'sigma': 0, 'alpha': 0.05, 'npermutations': 5000, 'marginal_z': <scipy.stats._continuous_distns.norm_gen object at 0x128055700>, 'marginal_x': <scipy.stats._continuous_distns.norm_gen object at 0x128055700>, 'edge_var': 0.5}",200,2,0.5
False,"{'dgp': <class 'src.dgp.GaussianNetwork'>, 'method': <class 'src.methods.RVPermutationTest'>, 'n': 200, 'k': 2, 'sigma': 0, 'alpha': 0.05, 'npermutations': 5000, 'marginal_z': <scipy.stats._continuous_distns.norm_gen object at 0x128055700>, 'marginal_x': <scipy.stats._continuous_distns.norm_gen object at 0x128055700>, 'edge_var': 1}",200,2,1.0
